domain,name,description,website,category,pricing,logo,source
synthesia.io,Free AI Video Generator - Create AI Videos in 140 Languages,Create AI generated videos from text with the most advanced AI avatars and voiceovers in 140+ languages. Try our free AI video generator now!,https://synthesia.io/,,,https://cdn.prod.website-files.com/65e89895c5a4b8d764c0d710/664f0f482fa5a4d527d892bc_Favicon-Web-Security%201.png,futurepedia
i384100.net,AI Education Assistant Tools & Software of 2025,,https://i384100.net/,,,,futurepedia
rytr.me,"Free AI Writer, Content Generator & Writing Assistant | Rytr","Discover Rytr, your free AI writing assistant. Craft high-quality content faster than ever before. Start for free and upgrade as you grow!",https://rytr.me/,,,https://rytr.me/wp-content/uploads/2024/01/cropped-favicon-192x192.png,futurepedia
blaze.ai,Blaze | AI That Does Marketing For You,"Produce blog posts, social media content, ad copy, and marketing briefs - all in your brand voice.",https://blaze.ai/,,,https://cdn.prod.website-files.com/64cd367074be316f3359db61/64e4f3e6e02e498591596ccc_Frame%209350.png,futurepedia
magicform.ai,MagicForm AI  | Home,"Supercharge your top of funnel with a 24/7 AI that qualifies, converts, and follows up with leads.",https://magicform.ai/,,,https://cdn.prod.website-files.com/649774a12b64bd58bcf9b112/67698c56b85d917b099f9f46_MagicForm-Logo-Favicon.png,futurepedia
sidenty.com,Sidenty - Secure your digital identity by professionals,"Sidenty safeguards your digital identity, enforces copyright, and protects your online presence for content creators and businesses.",https://sidenty.com/,,,https://sidenty.com/storage/2025/03/cropped-Sidenty-2025-1-192x192.png,toolify
twitter.com,JavaScript is not available.,We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center.,https://twitter.com/,,,https://abs.twimg.com/responsive-web/client-web-legacy/icon-ios.77d25eba.png,toolify
junia.ai,Junia AI - #1 AI Writer for SEO & Content Generation,"Junia AI is the best AI writer for SEO and on-brand long-form content! Generate in-depth, plagiarism-free content that ranks on Google. Ready to win the SEO game?",https://junia.ai/,,,https://junia.ai/favicon.png,toolify
dabblewriter.com,Dabble | Craft your Story,"Dabble is an easy-to-use online writing tool, packed with helpful features that allow beginning novelists and published authors to create amazing stories.",https://dabblewriter.com/,,,https://cdn.prod.website-files.com/61a901161719c64106fde73b/61ae651930ece3391f5c69fd_5c47a7047febe4a67877c8be_favicon.png,toolify
submagic.co,Best Caption & Subtitle Generator & Viral Shorts Maker ð¥,"Submagic makes your short-form videos captivating with AI captions, b-rolls, and smart edits. Save time and grow your social media reach effortlessly.",https://submagic.co/,,,https://cdn.prod.website-files.com/6469e2294ac68c3d5caea327/649ece3d4eda352389d58043_Icon%20And%20Favicon%400.5x.png,toolify
